Name,Type,Ownership,Sub-ownership,Eco-region,District
Dandafaya HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Dandagoun HP,Health Post,Public,Ministry of Health & Population,Mountain,Rasuwa
Dandakharka HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Dandapakhar HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Dangaji HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Dantola HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Darma HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Dattu HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Daulichaur HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Depalgaun HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Dethala HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Deulikot HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Deusa HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Devisthan HP Sunkhani,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Dewalsain HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajura
Dhainkot HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Dhamena HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Dhap HP Dhap,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Dhapa HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Dharapani HP MANANG,Health Post,Public,Ministry of Health & Population,Mountain,Manang
Dhari HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Dhaulakot HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Dho HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolpa
Dholagohe HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Dhuligarha HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Dhungedhara HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Dhupu HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Dhuskun HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Diding HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Dillichaur HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Dogadi HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajura
Dokhu HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Dolakha HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Dolphu HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Dubachour HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Dudhpokhari HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Dummrise HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Ekhabu HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Eyerkot HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Fasku HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Fatakshila HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Fulching HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolpa
Fulpingdandagau HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Fulpingkatti HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Fulpingkot HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Gadaraya HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Gairimudi HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Garjyangkot HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Garma HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Gati HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Gatlang HP,Health Post,Public,Ministry of Health & Population,Mountain,Rasuwa
Gaurisankar HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Gela HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Ghami HP,Health Post,Public,Ministry of Health & Population,Mountain,Mustang
Ghangsukathokar HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Ghodemahadev HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Ghorthali HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Ghumthang HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Ghusha HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Ghyaru HP,Health Post,Public,Ministry of Health & Population,Mountain,Manang
Gloche HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Goli HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Goljung HP,Health Post,Public,Ministry of Health & Population,Mountain,Rasuwa
Gorakhani HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Gothi HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Gudel HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Gudukhati HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajura
Guljar HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Gum HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Gumba HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Gumtha HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Gunsakot HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Guthichaur HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Gwani HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Hagam HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Haibung HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Haku HP JUMLA,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Haku HP RASUWA,Health Post,Public,Ministry of Health & Population,Mountain,Rasuwa
Hangdeva HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Hangpang HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Hangpang Mehele HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Hatiya HP SANKHUWASABHA,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Hatsinja HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Hawa HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Helumbu HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Hemantabada HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Hepka HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Hikila HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Humde HP,Health Post,Public,Ministry of Health & Population,Mountain,Manang
Hunainath HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Hunimahati HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajura
Huti HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Hyanglu HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Ichok HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Illa HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolpa
Irkhu HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Jagannath HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajura
Jair HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Jaljala HP SANKHUWASABHA,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Japhe HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Jay prithibinagar HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Jayabageswori HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajura
Jethal HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Jharkot HP,Health Post,Public,Ministry of Health & Population,Mountain,Mustang
Jhong HP,Health Post,Public,Ministry of Health & Population,Mountain,Mustang
Jhule HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Jhyaku HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Jim HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Jomsom (Thini) HP,Health Post,Public,Ministry of Health & Population,Mountain,Mustang
Jubing HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Jubitha HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Jubu HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Jufal HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolpa
Jugada HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajura
Jugu HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Jukot HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajura
Jumlakot HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Jyamire HP SINDHUPALCHOK,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Kabhre HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Kadambas HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Kadel HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Kagbeni HP,Health Post,Public,Ministry of Health & Population,Mountain,Mustang
Kaigaun HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolpa
Kailash HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Kailashmandau HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajura
Kalika HP DOLPA,Health Post,Public,Ministry of Health & Population,Mountain,Dolpa
Kalika HP SINDHUPALCHOK,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Kalika Lauthi HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Kalikhola HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Kalingchok HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Kalukheti HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Kanda HP BAJHANG,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Kanda HP BAJURA,Health Post,Public,Ministry of Health & Population,Mountain,Bajura
Kangel HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Kanku HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Kaphalaseri HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Karkibada HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Karthali HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Kartikswami HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Katai HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Katakuti HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Keemathnka HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Kerung HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Khagalgaun HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Khalanga HP Darchula,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Khamlung HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Khanaya HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
khandeswori HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Khangsar HP,Health Post,Public,Ministry of Health & Population,Mountain,Manang
Khar HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Kharang HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Khare HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Kharkada HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Kharpunath HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Kheen HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Khejenim HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Khewang HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Khiratadi HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Khokling HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Khopachagu HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Khumjung HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Kimari HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Kiwool HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Koiralakot HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Kotbada HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Kotbhairab HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Kotchaughanpata HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Kotdewal HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Kotila HP BAJURA,Health Post,Public,Ministry of Health & Population,Mountain,Bajura
Kowang HP,Health Post,Public,Ministry of Health & Population,Mountain,Mustang
Kubhinde HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Kudari HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Kunchok HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Kunjo HP,Health Post,Public,Ministry of Health & Population,Mountain,Mustang
Laduk HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Laharepouwa HP,Health Post,Public,Ministry of Health & Population,Mountain,Rasuwa
Lakuridada HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Lali HP DARCHAULA,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Lali HP HUMLA,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Lalutantikot HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Lamabagar HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Lamatola HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Lamidada HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Lamra HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Langarche HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Langtang HP,Health Post,Public,Ministry of Health & Population,Mountain,Rasuwa
Lapilang HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Latinath HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Lekhgau HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Lihi (Rara) HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Likhu HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolpa
Limi HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Limkhim HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Lingtep HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Lisankhu HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Listikot HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Liwang HP TAPLEJUNG,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Lokhim HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Lomangthang HP,Health Post,Public,Ministry of Health & Population,Mountain,Mustang
Lungthung HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Luyanta HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Madana HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Madi HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Magapauwa HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Mahabepatthar Khola HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Mahankal HP SINDHUPALCHOK,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Mahashreeng HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Mahatgaun HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Maila HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Majhfal HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolpa
Makaibari HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Makaibari HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Makalu HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Mali HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Malikabota HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Malikarjun HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Malikathantha HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Malkot HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Malta HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Malta HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Malu HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Malumela HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Mamankhe HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Mamling HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Manakamana HP SANKHUWASABHA,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Manakot HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajura
Manang HP,Health Post,Public,Ministry of Health & Population,Mountain,Manang
Maneswara HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Mangri HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Mangtewa HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Mankha HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Marbu HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Marming HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Marpha HP,Health Post,Public,Ministry of Health & Population,Mountain,Mustang
Martadi HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajura
Mashdev HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Matela HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Mati HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Maulali HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Mawadin HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Mehalmudi HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Mehele HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Melbisauna HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Melchham HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Melung HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Mimi HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Mirge HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Muchu HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Mugraha HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Mugu HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Mukali HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Mukot HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolpa
Mulkharka HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Mumrakot HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Nalbu HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Namche HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Namdu HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Nanikot HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Nankholyang HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Narakot HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Narkhola HP,Health Post,Public,Ministry of Health & Population,Mountain,Manang
Natharpu HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Nawalpur HP Nawalpur,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Nechabatase HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Nechabedghari HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Nele HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Nighuradin HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Num HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Nundhaki HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Odanku HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Olangchunggola HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Orang HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Pahada HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolpa
Pakha HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Palchok HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Panchan HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Pandawagufa HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Pandusain HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajura
Pangma HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Pangretar HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Pangtang HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Pangtha Pakhribas HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Papung HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Parakatne HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Parchyang HP,Health Post,Public,Ministry of Health & Population,Mountain,Rasuwa
Pasti HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Patadewal HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Patarasi HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Pathibhara HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Patmara HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Pauwagadhi HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Pawai HP,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Pawakhola HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Pawati HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Pedang HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Petku HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Phakumba HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Phawakhola HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Phoimahadev HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Phoksundo HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolpa
Photu HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Phu HP,Health Post,Public,Ministry of Health & Population,Mountain,Manang
Phukot HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Phulbari HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Phurumbu HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Pina HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Pipalchauri HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Pipaldanda HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Pipalkot HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Pisang HP,Health Post,Public,Ministry of Health & Population,Mountain,Manang
Piskar HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Pulu HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Raha HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolpa
Raku HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Ramanakot HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Ramche HP RASUWA,Health Post,Public,Ministry of Health & Population,Mountain,Rasuwa
Ranchuli HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Ranishikhar HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Rapla HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Rara (Gilas) HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Rasuwa HP,Health Post,Public,Ministry of Health & Population,Mountain,Rasuwa
Raya HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Rilu HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Rimi HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolpa
Rithachaupata HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Rodikot HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Rugin HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajura
Rumale HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Rupsa HP,Health Post,Public,Ministry of Health & Population,Mountain,Kalikot
Sabhapokhari HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
Sablakhu HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Sadewa HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Sahare HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Sahartara HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolpa
Sailungeswor HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolakha
Sainpasela HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajhang
Saldang HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolpa
Salleri HP Solukhumbu,Health Post,Public,Ministry of Health & Population,Mountain,Solukhumbu
Sangachok HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Sanghu HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Sanigaun HP,Health Post,Public,Ministry of Health & Population,Mountain,Jumla
Santhakra HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Sanusiruwari HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Sanwa HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Sappata HP,Health Post,Public,Ministry of Health & Population,Mountain,Bajura
Sarkeedeu (Ripa) HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Sarmi HP,Health Post,Public,Ministry of Health & Population,Mountain,Dolpa
Sarmoli HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Sawadin HP,Health Post,Public,Ministry of Health & Population,Mountain,Taplejung
Saya (Sarkegad) HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Selang HP,Health Post,Public,Ministry of Health & Population,Mountain,Sindhupalchok
Seri HP DARCHAULA,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Seri HP MUGU,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Shikhar HP,Health Post,Public,Ministry of Health & Population,Mountain,Darchaula
Shreekot HP Shreekot,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Shreemastha HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Shreenagar HP,Health Post,Public,Ministry of Health & Population,Mountain,Mugu
Shreenagar HP,Health Post,Public,Ministry of Health & Population,Mountain,Humla
Siddhakali HP,Health Post,Public,Ministry of Health & Population,Mountain,Sankhuwasabha
